Chi?u cao (mét),Cân n?ng (Kg) ví d?: 65,S? b?a ?n trong ngày,T?n su?t ?n sáng trong tu?n (??c tính bu?i/tu?n),T?n su?t ?n t?i (sau 21h) trong tu?n (??c tính b?a/tu?n),"T?n su?t s? d?ng th?c ?n nhanh nh? pizza, hamburger (??c tính b?a/tu?n)",L??ng rau c? tiêu th? trong m?i b?a ?n (??c tính gam/b?a ?n),L??ng n??c tiêu th? m?i ngày (??c tính lít/ngày),"Tiêu th? th?c ph?m giàu protein nh?: Th?t bò, th?t gà, phô mai, tr?ng, s?a... (??c tính gam/b?a ?n)",Th?i gian t?p th? d?c trong tu?n (??c tính gi?/tu?n),T?n su?t tham gia các ho?t ??ng th? d?c th? thao (??c tính gi?/tu?n),T?n su?t s? d?ng r??u bia và ?? u?ng có c?n,Hút thu?c lá và các lo?i thu?c ch?a nicotine,Th?i gian ng? trung bình m?i ngày (ti?ng/ngày),Yêu c?u v? ho?t ??ng th? ch?t (lao ??ng chân tay) trong công vi?c hi?n t?i,Khu v?c s?ng có công viên không,"Th?i gian s? d?ng thi?t b? công ngh? (?i?n tho?i, máy tính. laptop...) trong ngày (gi?/ngày)","Tr?m c?m, lo âu và các v?n ?? không ?n ??nh tâm lý"
165,47,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,Ít h?n 1 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,8,2,Không,5,Không
1m64,41,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,7 gi? ,1,Không,2 gi? ,Không
160,44,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Trung bình,Không,10 gi?,3,Không,8,Không
1m59,52kg,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,6 ti?ng,2,Không,4,Không
1m56,56,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Trên 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,5 ti?ng,1,Không,?i?n tho?i,Có
161,45,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8 ti?ng ,1,Không,7 ti?ng ,Không
1m67,61 kg,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,6 ti?ng,1,Không,12 gi?,Có
1m71,58,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,6h,2,Không,6,Có
1m56,43,3,T? 1 - 3 b?a/tu?n,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,30p,3,Không,2h,Không
1m60,40,2,Không ?n,M?i ngày,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Có,6 ti?ng,1,Không,4 ti?ng,Có
1m68,67kg,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8 ti?ng,2,Không,2 gi?/ngày,Không
1m60,43kg,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,8,1,Không,5,Không
1m55,50,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8 ti?ng,1,Có,4 ti?ng,Không
155,40,2,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Ít,Không,7 ti?ng,1,Không,10 gi?,Có
1m52,43kg,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,8-9 ti?ng/ngày,2,Có,22h,Có
1.51,41,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,7 ti?ng,1,Không,15 phút ,Không
1m52,40kg,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,9 ti?ng,2,Không,2 ti?ng,Không
1m61,52,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8h,1,Không,5h ,Không
165cm,49kg,4,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,1 - 2 ti?ng,3,Có,7/24,Không
1m51,40kg,2,Không ?n,Không ?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,6-10 ti?ng,1,Không,5h/1ngay,Có
1.72,61kg,2,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,9h,4,Không,5-6h,Không
1m52,38,2,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Trung bình,Không,2h,3,Có,10/24,Không
1m59,59,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,6 ti?ng,2,Không,3-4 ti?ng,Không
1m59,59,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,6 ti?ng,2,Không,3-4 ti?ng,Không
1m56,50,1,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,4 -5 ti?ng,3,Không,2-3h,Không
1m51,48,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,6 ti?ng,1,Có,5 tieng,Không
1m49,43,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,6 ti?ng,1,Không,6-7 ti?ng,Có
1m71,52kg,3,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,10 ti?ng,2,Có,Không xác ??nh ???c,Không
180cm,65kg,3,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,Ít h?n 1 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,7 ti?ng,2,Có,12h,Không
170,60,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,Trên 4 gi?,Không,Không,7,1,Không,7,Không
170,69,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8_12h,3,Có,4h\ngày,Có
160cm,44kg,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8 ti?ng,2,Không,6 ti?ng,Không
1m57,42,3,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,10 gi?,3,Không,7 gi?,Không
M79,54kg,4,M?i ngày,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Ít,Không,6-7,3,Không,8-9,Không
1m62,44kg,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,8 ti?ng ,1,Không,20/24,Không
170,55,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,M?i ngày,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,6 ti?ng,1,Có,2h/ngày,Có
1.60,49,4,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,21h30,3,Không,4h,Không
1m33,56,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,7-8 ti?ng,1,Không,1-2 ti?ng,Không
172,62,5,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,Trên 3 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Nhi?u,Không,9 gi?,5,Không,khá là nhi?u ,Không
158cm,41kg,1,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,6h10',2,Có,6h,Không
172,47,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7 ??n 8 ti?ng,3,Không,3-4 ti?ng,Không
154 cm,45 kg,2,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,6 ti?ng,1,Không,4 gi?,Không
1m58,50kg,2,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,8-10 ti?ng,2,Không,7h/ngày,Không
156cm,70,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8 ti?ng,4,Không,3-4 ti?ng,Không
1m65,51,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,2 gi?,2,Không,4,Không
1m60,46,2,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6-7,3,Không,5,Có
1.73,67kg,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,12h,2,Có,15,Không
1m73,45,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,H?n 6h ,3,Có,H?n 4h ,Có
178cm,53,2,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,8 ti?ng,1,Không,2/24,Không
1m76,72,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,5-6h,1,Không,3h,Có
1m58,56,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Có,7,3,Không,6,Không
1m63,50,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Trung bình,Không,9 ti?ng,1,Có,8-9 ti?ng m?i ngày,Không
1m66,47kg,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,Trên 3 gi?,Trên 4 gi?,Không,Không,7 ti?ng,3,Không,4 ti?ng,Có
156,38,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,Trên 10 gi? ??ng h? ,1,Có,3-4 gi? ??ng h? ,Có
1m68,60kg,2,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,9h,3,Không,10h/ngày,Không
150,36,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,Ít h?n 1 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,6,3,Không,3,Không
1m58,57kg,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,8,1,Không,10h,Có
1m55,39,3,T? 3 - 6 b?a/tu?n,M?i ngày,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,6h,3,Không,H?n 4h,Có
M6,46kg,2,M?i ngày,M?i ngày,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,16 ti?ng,4,Có,24/7,Không
1m59,47kg,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,1 ti?ng ,3,Có,10h,Không
173,60,2,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Có,4,3,Có,7 ti?ng,Không
1m67,53,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,6-7 ti?ng ,2,Không,7 gi?,Không
156,43,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,6 ti?ng,1,Không,6 ti?ng,Có
1m48,37.5kg,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6-7 ti?ng,3,Có,15gi?/ngày,Không
1m59,44,2,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,8-9 ti?ng,1,Không,24/18,Có
1m72,56kg,4,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Trung bình,Không,7h,4,Không,4h,Không
1m58,42,2,Không ?n,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,9-10 ti?ng,1,Không,Nhi?u,Không
155,42,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7 gi?,2,Không,5 gi?/ngày,Không
1m52,54kg,2,Không ?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,8 ti?ng,1,Không,10 ti?ng,Có
163,73,2,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,6,2,Không,4,Không
154,45,2,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,7-9 ti?ng,1,Không,4-6 ti?ng,Không
175,69,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,6 gi? m?i ngày,1,Không,3-4h,Không
163,42,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,8 ti?ng,3,Không,6 ti?ng,Không
1m66,49kg,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8 ti?ng,1,Có,4 gi?,Có
160,40,2,T? 1 - 3 b?a/tu?n,M?i ngày,Không ?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,6,1,Có,8,Không
1m65,46,2,Không ?n,M?i ngày,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,6 ti?ng,2,Không,4 ti?ng,Không
161,56,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,10h,1,Có,5h,Có
150,53,3,Không ?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,6 ti?ng ,1,Không,8 ti?ng,Không
1m58,39kg,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8 ti?ng,3,Không,8,Có
1m59,47kg,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,Tr?a:1-2 ti?ng,3,Không,3-4h,Không
150,45,2,Không ?n,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,6 ti?ng 30 phút,1,Không,2-3 ti?ng ho?c h?n,Không
1m53,45kg,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,7 ti?ng,2,Không,?i?n tho?i,Không
1m66,51kg,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8 ti?ng,5,Không,6 gi?/ngày,Không
162,53,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,7 ti?ng ,1,Không,5 gi? ,Không
167,65,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7 ti?ng,2,Có,5 gi?,Không
1m55,52kg,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,6-7 ti?ng,1,Có,5 ti?ng/ngày,Không
1m50,39kg,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,8 ti?ng ,1,Không,6-7 ti?ng,Không
1m65,105,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Trên 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8 gi?,2,Không,5,Không
1m63,48.5,2,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,6 ti?ng,1,Không,3-4 ti?ng,Không
1m65,62,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,7tieng,1,Không,R?nh là s? d?ng ,Có
